,Made Donation in March 2007
659,0.451253233
276,0.195641347
263,0.200860192
303,0.319731644
83,0.420991638
500,0.498291024
530,0.297396615
244,0.021061838
249,-0.001578858
728,0.160951503
129,0.17659002
534,0.256479826
317,0.373045059
401,0.200860192
696,0.302691333
192,0.05809798
176,0.264798682
571,0.382108258
139,0.235743549
423,0.318345826
563,0.410422208
56,0.343349974
528,0.354567554
101,0.200860192
467,0.294525333
382,0.395574091
466,0.286047882
294,0.021061838
512,0.282972014
659,0.451253233
389,0.412348
487,0.161784829
701,0.285693977
419,0.346743031
536,0.192853907
240,0.279008729
508,0.23573009
515,0.021061838
283,0.35074384
650,0.200860192
65,0.340272798
228,0.21342259
741,0.190601244
297,0.37401864
464,0.143559652
63,0.285693977
231,0.32717625
28,0.139613839
248,0.021061838
357,0.213940831
300,0.465252006
726,0.464550577
680,0.192524639
520,0.339979103
254,0.020288798
582,0.276196082
143,0.382586784
98,0.366591323
1,0.335581513
221,0.469788194
352,0.200860192
64,0.106625356
138,0.326634154
745,0.450113628
64,0.106625356
688,0.076466688
623,0.206813939
289,0.270964109
174,0.346873126
690,0.200860192
105,0.232619158
427,0.177206744
48,-0.146963392
14,0.200860192
657,0.106143269
301,0.255673827
455,0.147007706
579,0.388896268
722,0.164668864
98,0.366591323
491,-0.146963392
303,0.319731644
466,0.286047882
65,0.340272798
300,0.465252006
9,-0.044087248
622,0.05809798
323,0.077795449
289,0.270964109
568,0.345567516
290,0.200860192
156,0.186048622
464,0.143559652
426,0.096558131
306,0.276775815
4,0.31670447
12,0.335585252
187,0.316915532
406,0.184403394
96,0.297396615
509,0.285693977
733,0.24020025
548,0.091083393
478,0.276199064
501,0.137948219
127,0.381016382
199,0.305701451
299,0.43353129
162,0.200860192
235,0.142148225
23,0.158128448
473,0.200860192
487,0.161784829
683,0.383815451
303,0.319731644
309,0.069884357
569,-0.059244649
34,0.368749326
686,0.448674203
84,0.255041811
733,0.24020025
537,0.399340072
181,0.205094415
453,0.612531477
67,0.431887434
161,0.471303219
307,0.335095009
703,0.154634403
181,0.205094415
246,0.117598261
316,0.350592388
278,0.05809798
346,0.197169498
545,0.200860192
419,0.346743031
694,0.297396615
622,0.05809798
663,0.144348682
262,0.474347355
461,0.435899609
373,0.591338667
233,0.200860192
466,0.286047882
207,0.382586784
263,0.200860192
16,-0.059244649
513,0.079349475
449,0.323047372
429,0.063011137
701,0.285693977
632,0.029713972
529,0.448318223
245,0.302707691
344,0.209282671
353,0.146041917
241,0.365276555
633,2.17E-05
624,0.285693977
726,0.464550577
189,0.05809798
138,0.326634154
402,0.021061838
511,0.357778772
590,0.349745687
334,0.285411304
447,0.113688494
119,0.286047882
389,0.412348
644,0.200860192
423,0.318345826
131,-0.059244649
405,-0.156347151
82,0.200860192
643,0.637722307
156,0.186048622
617,0.088509215
574,0.352272527
272,0.436566739
613,0.097511327
545,0.200860192
685,0.021061838
570,0.234510076
537,0.399340072
691,2.17E-05
85,0.431882318
483,0.117598261
455,0.147007706
93,0.05809798
744,0.285693977
33,0.117598261
321,0.482583977
523,0.232602818
426,0.096558131
196,0.089317905
301,0.255673827
103,2.17E-05
224,0.049025693
454,0.193292767
585,0.030256842
154,0.39369878
