,Made Donation in March 2007
659,0.488915112
276,0.187006676
263,0.151493111
303,0.321949705
83,0.460238521
500,0.527279765
530,0.301443583
244,0.045419325
249,0.042657541
728,0.133637261
129,0.157546826
534,0.234075767
317,0.371693984
401,0.151493111
696,0.281446233
192,0.058185495
176,0.260350813
571,0.388917123
139,0.20401114
423,0.296224203
563,0.44893756
56,0.344843327
528,0.376099634
101,0.151493111
467,0.241046721
382,0.391220141
466,0.240057609
294,0.045419325
512,0.255399612
659,0.488915112
389,0.414220858
487,0.14635436
701,0.259622096
419,0.340088486
536,0.128627092
240,0.278027329
508,0.15860054
515,0.045419325
283,0.362179888
650,0.151493111
65,0.355268909
228,0.200589469
741,0.165648659
297,0.38607935
464,0.121530982
63,0.259622096
231,0.334910611
28,0.11727422
248,0.045419325
357,0.199665729
300,0.500206841
726,0.446406627
680,0.175780536
520,0.337071306
254,0.052821379
582,0.261715138
143,0.379755672
98,0.414703584
1,0.311033636
221,0.499662205
352,0.151493111
64,0.083609058
138,0.303793475
745,0.473656428
64,0.083609058
688,0.074810102
623,0.166664906
289,0.240359387
174,0.351047314
690,0.151493111
105,0.211552379
427,0.163482521
48,0.015182853
14,0.151493111
657,0.103696671
301,0.232596273
455,0.12535913
579,0.392031339
722,0.146640946
98,0.414703584
491,0.015182853
303,0.321949705
466,0.240057609
65,0.355268909
300,0.500206841
9,0.029524261
622,0.058185495
323,0.075759282
289,0.240359387
568,0.333405074
290,0.151493111
156,0.121001311
464,0.121530982
426,0.090389656
306,0.269552632
4,0.315206759
12,0.340131177
187,0.304988143
406,0.170040639
96,0.301443583
509,0.259622096
733,0.214745864
548,0.091520086
478,0.25595382
501,0.111760297
127,0.418464184
199,0.272929849
299,0.46862043
162,0.151493111
235,0.127565569
23,0.123703159
473,0.151493111
487,0.14635436
683,0.416674044
303,0.321949705
309,0.078765331
569,0.026736947
34,0.392434128
686,0.482257223
84,0.186863741
733,0.214745864
537,0.442842049
181,0.177250281
453,0.644648511
67,0.464422433
161,0.49142992
307,0.325965678
703,0.12991989
181,0.177250281
246,0.103138426
316,0.354939585
278,0.058185495
346,0.175551053
545,0.151493111
419,0.340088486
694,0.301443583
622,0.058185495
663,0.110191831
262,0.53573693
461,0.449697907
373,0.58300897
233,0.151493111
466,0.240057609
207,0.379755672
263,0.151493111
16,0.026736947
513,0.086107245
449,0.31187636
429,0.073797474
701,0.259622096
632,0.055025747
529,0.51935328
245,0.306288516
344,0.193864213
353,0.132078643
241,0.350285963
633,0.039490965
624,0.259622096
726,0.446406627
189,0.058185495
138,0.303793475
402,0.045419325
511,0.379015415
590,0.394873005
334,0.224354345
447,0.098439576
119,0.240057609
389,0.414220858
644,0.151493111
423,0.296224203
131,0.026736947
405,0.014302251
82,0.151493111
643,0.616174058
156,0.121001311
617,0.0893475
574,0.364843773
272,0.451392527
613,0.076717115
545,0.151493111
685,0.045419325
570,0.214806844
537,0.442842049
691,0.039490965
85,0.439472405
483,0.103138426
455,0.12535913
93,0.058185495
744,0.259622096
33,0.103138426
321,0.485287852
523,0.191118338
426,0.090389656
196,0.07921827
301,0.232596273
103,0.039490965
224,0.066285616
454,0.183303418
585,0.058179101
154,0.403837029
