,Made Donation in March 2007
659,0.502192977
276,0.18789236
263,0.145867378
303,0.311883473
83,0.469512299
500,0.539685243
530,0.292743081
244,0.054281567
249,0.052962844
728,0.135773863
129,0.158649468
534,0.225848914
317,0.356748611
401,0.145867378
696,0.267293699
192,0.065854914
176,0.25455031
571,0.376168607
139,0.196207377
423,0.27995441
563,0.457783165
56,0.333543008
528,0.372534707
101,0.145867378
467,0.222266768
382,0.373057732
466,0.222825948
294,0.054281567
512,0.242146269
659,0.502192977
389,0.39877835
487,0.149659298
701,0.243752833
419,0.325672699
536,0.12453459
240,0.271525551
508,0.147673951
515,0.054281567
283,0.35432763
650,0.145867378
65,0.347136707
228,0.199006866
741,0.165134188
297,0.37775024
464,0.12536298
63,0.243752833
231,0.326532625
28,0.121383325
248,0.054281567
357,0.197763147
300,0.513276005
726,0.416505693
680,0.175760775
520,0.324476308
254,0.063330968
582,0.252399263
143,0.364607346
98,0.425655323
1,0.292109459
221,0.508770915
352,0.145867378
64,0.089259073
138,0.284920857
745,0.474945053
64,0.089259073
688,0.083000913
623,0.162657282
289,0.227289695
174,0.339961846
690,0.145867378
105,0.206489815
427,0.165378801
48,0.023824094
14,0.145867378
657,0.111727298
301,0.224365546
455,0.128947286
579,0.378478848
722,0.149266368
98,0.425655323
491,0.023824094
303,0.311883473
466,0.222825948
65,0.347136707
300,0.513276005
9,0.03907245
622,0.065854914
323,0.083907515
289,0.227289695
568,0.31695866
290,0.145867378
156,0.117794951
464,0.12536298
426,0.09781849
306,0.261206731
4,0.304259304
12,0.330343485
187,0.29082958
406,0.171269062
96,0.292743081
509,0.243752833
733,0.208176987
548,0.100088597
478,0.245542865
501,0.115310676
127,0.42351602
199,0.254491436
299,0.477394182
162,0.145867378
235,0.132161349
23,0.12494104
473,0.145867378
487,0.149659298
683,0.419447335
303,0.311883473
309,0.088414139
569,0.036262657
34,0.389868765
686,0.489699498
84,0.172931234
733,0.208176987
537,0.453485421
181,0.174576499
453,0.725975105
67,0.471021069
161,0.492099076
307,0.311774928
703,0.132165058
181,0.174576499
246,0.108938362
316,0.344164276
278,0.065854914
346,0.174161786
545,0.145867378
419,0.325672699
694,0.292743081
622,0.065854914
663,0.113084632
262,0.579014358
461,0.442950285
373,0.581778477
233,0.145867378
466,0.222825948
207,0.364607346
263,0.145867378
16,0.036262657
513,0.09552768
449,0.298158966
429,0.083582852
701,0.243752833
632,0.06511393
529,0.565253556
245,0.298528048
344,0.192383833
353,0.13643622
241,0.329534439
633,0.048740782
624,0.243752833
726,0.416505693
189,0.065854914
138,0.284920857
402,0.054281567
511,0.375304473
590,0.40288751
334,0.206306839
447,0.10472572
119,0.222825948
389,0.39877835
644,0.145867378
423,0.27995441
131,0.036262657
405,0.02280139
82,0.145867378
643,0.618368611
156,0.117794951
617,0.098004168
574,0.356381995
272,0.445372853
613,0.0828498
545,0.145867378
685,0.054281567
570,0.209706871
537,0.453485421
691,0.048740782
85,0.426881384
483,0.108938362
455,0.128947286
93,0.065854914
744,0.243752833
33,0.108938362
321,0.470589665
523,0.183188314
426,0.09781849
196,0.086450325
301,0.224365546
103,0.048740782
224,0.076250633
454,0.184179864
585,0.068708325
154,0.393635037
